time,open,high,low,close,vwap,volume,count
2020-05-14,9317.1,9948.3,9128.0,9510.1,9603.5,61339.92820274,190743
2020-05-21,9510.1,9564.0,8644.0,9213.9,9035.2,46919.48461182,157076
2020-05-28,9208.0,10370.0,9109.4,9664.1,9635.7,52040.43197427,157424
2020-06-04,9670.0,10000.0,9386.6,9892.4,9715.8,34808.54218199,106492
2020-06-11,9892.2,9990.0,8905.0,9453.1,9401.6,42373.75121862,138807
2020-06-18,9453.1,9780.0,9165.0,9282.0,9430.5,27104.33631823,96399
2020-06-25,9290.6,9337.5,8812.8,9234.5,9140.9,28734.19183887,86478
2020-07-02,9233.9,9480.0,8915.1,9440.1,9213.5,22265.4139156,75893
2020-07-09,9440.0,9440.1,9095.0,9195.0,9240.4,18514.03359292,70513
2020-07-16,9194.9,9569.0,9021.7,9529.9,9234.7,17685.33725737,65534
2020-07-23,9529.8,11420.0,9460.0,11108.2,10452.3,46612.95665121,158838
